X,Y,NAME,ST,POPULATION
-111.9541029,43.47579236,Ammon,ID,15181
-112.345567,43.1939371,Blackfoot,ID,11946
-116.2301102,43.59901481,Boise City,ID,225405
-113.7932927,42.53674089,Burley,ID,10727
-116.6856189,43.66162605,Caldwell,ID,53942
-112.4695578,42.92274567,Chubbuck,ID,14655
-116.7931501,47.70458908,Coeur d'Alene,ID,50469
-116.3508845,43.69468764,Eagle,ID,25825
-116.2934025,43.66470055,Garden City,ID,12172
-116.8011222,47.76856022,Hayden,ID,14759
-112.0361049,43.48763197,Idaho Falls,ID,60459
-114.5156931,42.71845024,Jerome,ID,11403
-116.4063972,43.48969664,Kuna,ID,18179
-117.012528,46.40201856,Lewiston,ID,33087
-116.3968518,43.61767013,Meridian,ID,94647
-116.9989025,46.73055046,Moscow,ID,25597
-115.696567,43.13279156,Mountain Home,ID,13957
-116.5626567,43.58248587,Nampa,ID,91299
-112.4403314,42.86382584,Pocatello,ID,55781
-116.9491065,47.72197353,Post Falls,ID,31770
-111.7926482,43.82206521,Rexburg,ID,28019
-114.4638975,42.56302955,Twin Falls,ID,49070
-87.98278775,41.92424144,Addison,IL,37260
-88.31546346,42.16268894,Algonquin,IL,30536
-87.73507,41.67027816,Alsip,IL,19299
-90.18227517,38.89136142,Alton,IL,26822
-88.09435575,42.47836437,Antioch,IL,14421
-87.98254512,42.09556846,Arlington Heights,IL,76280
-88.3067425,41.7591645,Aurora,IL,203195
-88.12784458,42.15150105,Barrington,IL,10479
-88.18448786,41.99109179,Bartlett,IL,41945
-88.30925205,41.84901502,Batavia,IL,26010
-87.84967912,42.42872979,Beach Park,IL,13523
-89.98737651,38.5161488,Belleville,IL,42721
-87.87617268,41.8828941,Bellwood,IL,19185
-88.83536225,42.255031,Belvidere,IL,25767
-87.9434233,41.95829565,Bensenville,IL,18868
-87.7909345,41.84333414,Berwyn,IL,57911
-88.095016,41.9503246,Bloomingdale,IL,22697
-88.99704911,40.48566868,Bloomington,IL,79009
-87.68176343,41.66462613,Blue Island,IL,24593
-88.10116567,41.69125158,Bolingbrook,IL,74945
